Data,Hora,Camera,Imagem
2025-03-17,14:25:18,Cam 2,placas_detectadas\cam2_20250317-142518.png
2025-03-17,14:28:34,Cam 2,placas_detectadas\cam2_20250317-142834.png2025-03-18,11:34:03,Cam 2,placas_detectadas\cam2_20250318-113403.png
2025-03-18,11:34:06,Cam 1,placas_detectadas\cam1_20250318-113406.png
2025-03-18,11:51:09,Cam 2,placas_detectadas\cam2_20250318-115109.png
2025-03-18,12:44:39,Cam 1,placas_detectadas\cam1_20250318-124439.png
2025-03-18,12:44:52,Cam 2,placas_detectadas\cam2_20250318-124452.png
2025-03-18,13:04:25,Cam 1,placas_detectadas\cam1_20250318-130425.png
2025-03-18,13:04:35,Cam 2,placas_detectadas\cam2_20250318-130435.png
2025-03-18,13:32:32,Cam 1,placas_detectadas\cam1_20250318-133232.png
2025-03-18,13:32:44,Cam 2,placas_detectadas\cam2_20250318-133244.png
2025-03-18,13:43:34,Cam 1,placas_detectadas\cam1_20250318-134334.png
2025-03-18,13:43:43,Cam 2,placas_detectadas\cam2_20250318-134343.png
2025-03-18,13:52:49,Cam 1,placas_detectadas\cam1_20250318-135249.png
2025-03-18,13:52:57,Cam 2,placas_detectadas\cam2_20250318-135257.png
2025-03-18,14:01:46,Cam 1,placas_detectadas\cam1_20250318-140146.png
2025-03-18,14:01:57,Cam 2,placas_detectadas\cam2_20250318-140157.png
2025-03-18,14:11:04,Cam 1,placas_detectadas\cam1_20250318-141104.png
2025-03-18,14:16:01,Cam 2,placas_detectadas\cam2_20250318-141601.png
2025-03-18,14:17:14,Cam 2,placas_detectadas\cam2_20250318-141714.png
2025-03-18,14:17:21,Cam 1,placas_detectadas\cam1_20250318-141721.png
2025-03-18,14:18:14,Cam 2,placas_detectadas\cam2_20250318-141814.png
2025-03-18,14:18:31,Cam 2,placas_detectadas\cam2_20250318-141831.png
2025-03-18,14:23:20,Cam 1,placas_detectadas\cam1_20250318-142320.png
2025-03-18,14:23:29,Cam 2,placas_detectadas\cam2_20250318-142329.png
2025-03-18,14:28:11,Cam 1,placas_detectadas\cam1_20250318-142811.png
2025-03-18,14:28:17,Cam 2,placas_detectadas\cam2_20250318-142817.png
2025-03-18,14:32:33,Cam 1,placas_detectadas\cam1_20250318-143233.png
2025-03-18,14:32:44,Cam 2,placas_detectadas\cam2_20250318-143244.png
2025-03-18,14:35:36,Cam 1,placas_detectadas\cam1_20250318-143536.png
2025-03-18,14:37:17,Cam 1,placas_detectadas\cam1_20250318-143717.png
2025-03-18,14:37:27,Cam 2,placas_detectadas\cam2_20250318-143727.png
2025-03-18,14:39:49,Cam 1,placas_detectadas\cam1_20250318-143949.png
2025-03-18,14:39:56,Cam 2,placas_detectadas\cam2_20250318-143956.png
2025-03-18,14:42:28,Cam 2,placas_detectadas\cam2_20250318-144228.png
2025-03-18,14:42:36,Cam 1,placas_detectadas\cam1_20250318-144236.png
2025-03-18,14:46:06,Cam 1,placas_detectadas\cam1_20250318-144606.png
2025-03-18,14:46:16,Cam 2,placas_detectadas\cam2_20250318-144616.png
2025-03-18,15:05:15,Cam 1,placas_detectadas\cam1_20250318-150515.png
2025-03-18,15:05:26,Cam 2,placas_detectadas\cam2_20250318-150526.png
2025-03-18,15:45:59,Cam 1,placas_detectadas\cam1_20250318-154559.png
2025-03-18,15:46:10,Cam 2,placas_detectadas\cam2_20250318-154610.png
2025-03-18,15:50:55,Cam 2,placas_detectadas\cam2_20250318-155054.png
2025-03-18,15:51:00,Cam 1,placas_detectadas\cam1_20250318-155100.png
2025-03-19,09:11:59,Cam 2,placas_detectadas\cam2_20250319-091159.png
2025-03-19,09:12:37,Cam 1,placas_detectadas\cam1_20250319-091237.png
2025-03-19,10:57:26,Cam 2,placas_detectadas\cam2_20250319-105726.png
2025-03-19,11:00:39,Cam 1,placas_detectadas\cam1_20250319-110039.png
2025-03-19,11:00:55,Cam 2,placas_detectadas\cam2_20250319-110055.png
2025-03-19,11:19:55,Cam 1,placas_detectadas\cam1_20250319-111955.png
2025-03-19,12:11:00,Cam 2,placas_detectadas\cam2_20250319-121100.png
2025-03-19,12:16:47,Cam 1,placas_detectadas\cam1_20250319-121647.png
2025-03-19,12:17:02,Cam 1,placas_detectadas\cam1_20250319-121702.png
2025-03-19,12:17:16,Cam 1,placas_detectadas\cam1_20250319-121716.png
2025-03-19,12:17:29,Cam 1,placas_detectadas\cam1_20250319-121729.png
2025-03-19,12:17:42,Cam 1,placas_detectadas\cam1_20250319-121742.png
2025-03-19,12:17:58,Cam 1,placas_detectadas\cam1_20250319-121758.png
2025-03-19,12:18:24,Cam 2,placas_detectadas\cam2_20250319-121824.png
2025-03-19,12:18:37,Cam 1,placas_detectadas\cam1_20250319-121837.png
2025-03-19,12:18:50,Cam 2,placas_detectadas\cam2_20250319-121850.png
2025-03-19,12:19:03,Cam 1,placas_detectadas\cam1_20250319-121903.png
2025-03-19,12:19:16,Cam 1,placas_detectadas\cam1_20250319-121916.png
2025-03-19,12:19:29,Cam 1,placas_detectadas\cam1_20250319-121929.png
2025-03-19,12:19:42,Cam 1,placas_detectadas\cam1_20250319-121942.png
2025-03-19,12:19:55,Cam 1,placas_detectadas\cam1_20250319-121955.png
2025-03-19,12:23:26,Cam 1,placas_detectadas\cam1_20250319-122326.png
2025-03-19,12:23:39,Cam 1,placas_detectadas\cam1_20250319-122339.png
2025-03-19,12:31:32,Cam 1,placas_detectadas\cam1_20250319-123132.png
2025-03-19,13:43:01,Cam 1,placas_detectadas\cam1_20250319-134301.png
2025-03-19,13:43:21,Cam 2,placas_detectadas\cam2_20250319-134320.png
2025-03-19,14:04:40,Cam 2,placas_detectadas\cam2_20250319-140440.png
2025-03-19,14:04:57,Cam 1,placas_detectadas\cam1_20250319-140457.png
